Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage,features,features 37C,features 4C,measurements,measurements 37C,measurements 4C,mean log2(Intensity),log2_intensity_4C,log2_intensity_37
E9PVA8,4C-vs-37C,-2.462580794,0.038014732,-64.77964363,6,9.10E-10,3.45E-06,NA,0.013888889,0,9,9,9,71,36,35,12.60411477,11.44245355,13.90191028
P25444,4C-vs-37C,-2.730447535,0.058687971,-46.52482435,6,6.61E-09,5.05E-06,NA,0,0,13,13,13,104,52,52,17.31667523,15.69697484,18.47862375
P60867,4C-vs-37C,-3.120572022,0.067157182,-46.46669125,6,6.66E-09,5.05E-06,NA,0.02173913,0,23,23,23,180,92,88,14.98038721,13.53232642,16.64305482
P67984,4C-vs-37C,-3.016445001,0.063193927,-47.73314675,6,5.67E-09,5.05E-06,NA,0.09375,0,12,12,12,87,48,39,15.5040103,14.0388671,17.11400901
Q9CZX8,4C-vs-37C,-2.78047483,0.055897708,-49.74219715,6,4.43E-09,5.05E-06,NA,0,0,12,12,12,96,48,48,16.57613189,15.04969578,17.82889764
Q8VDJ3,4C-vs-37C,-2.495421561,0.060462331,-41.27233467,6,1.35E-08,8.55E-06,NA,0,0,10,10,10,80,40,40,13.78682263,12.66521923,15.15174672
P09470,4C-vs-37C,-3.538187756,0.091599033,-38.62691175,6,2.01E-08,8.92E-06,NA,0,0,10,10,10,80,40,40,14.0931053,12.20161618,15.70447929
P23591,4C-vs-37C,-2.261362751,0.063053461,-35.86421272,6,3.13E-08,8.92E-06,NA,0.208333333,0,9,9,9,57,36,21,12.94818341,11.12176205,13.39027501
P45952,4C-vs-37C,-2.187458593,0.060573438,-36.11250539,6,3.01E-08,8.92E-06,NA,0,0,13,13,13,104,52,52,16.00967813,14.9781212,17.19572298
P97742,4C-vs-37C,-2.148504979,0.058062659,-37.00321398,6,2.60E-08,8.92E-06,NA,0,0,11,11,11,88,44,44,15.40932661,14.39797418,16.51981531
Q9CY58,4C-vs-37C,-3.211243883,0.084187603,-38.14390431,6,2.17E-08,8.92E-06,NA,0.022727273,0,11,11,11,86,44,42,13.97053402,12.93487127,16.23573055
Q9ET22,4C-vs-37C,-3.043957473,0.080649626,-37.74298318,6,2.31E-08,8.92E-06,NA,0.303571429,0,14,10,14,82,40,42,13.38215142,11.97569224,14.9747033
Q9WUA2,4C-vs-37C,-2.915844837,0.081870213,-35.61545434,6,3.27E-08,8.92E-06,NA,0,0,10,10,10,80,40,40,14.20508443,12.59999948,15.55010886
Q9Z1Q5,4C-vs-37C,-3.963868648,0.111441506,-35.5690514,6,3.29E-08,8.92E-06,NA,0.3,0,15,15,9,84,60,24,14.5009296,11.66115007,15.61318656
Q9R112,4C-vs-37C,-2.152188143,0.062742825,-34.30174102,6,4.09E-08,1.03E-05,NA,0,0,9,9,9,72,36,36,15.75547908,14.35982245,16.53796286
Q9D6Y9,4C-vs-37C,-2.795474368,0.083499164,-33.47906995,6,4.73E-08,1.12E-05,NA,0.352272727,0,11,9,11,59,36,23,13.70170485,11.99816058,14.81600867
Q9D711,4C-vs-37C,-4.713417154,0.143025294,-32.95513009,6,5.19E-08,1.16E-05,NA,0.285714286,0,14,14,11,80,56,24,12.97312268,9.206223316,13.96825681
Q99KQ4,4C-vs-37C,-3.491039265,0.109106388,-31.9966534,6,6.19E-08,1.31E-05,NA,0.111111111,0,8,8,8,64,32,32,14.35929047,12.91599706,16.41450047
P26040,4C-vs-37C,-3.411576076,0.108214594,-31.52602571,6,6.77E-08,1.32E-05,NA,0,0,16,16,16,128,64,64,15.63542261,13.94944143,17.35348494
P42669,4C-vs-37C,-1.666712242,0.05309515,-31.39104488,6,6.94E-08,1.32E-05,NA,0,0,19,19,19,152,76,76,16.33158617,15.37739122,17.06670855
Q6ZWY3,4C-vs-37C,-2.190605975,0.071512425,-30.63252263,6,8.03E-08,1.39E-05,NA,0.107142857,0,7,7,7,50,28,22,14.14130236,12.8339269,15.04363517
Q8QZY1,4C-vs-37C,-2.189058529,0.071129755,-30.77556681,6,7.81E-08,1.39E-05,NA,0,0,9,9,9,72,36,36,14.57224015,13.50654125,15.69577097
P84099,4C-vs-37C,-1.967697863,0.064831516,-30.35094646,6,8.49E-08,1.40E-05,NA,0,0,13,13,13,104,52,52,17.41579053,16.40561817,18.38008552
Q9D7H3,4C-vs-37C,-3.048483692,0.101704451,-29.97394576,6,9.15E-08,1.45E-05,NA,0.1875,0,10,10,10,65,40,25,13.77225015,11.87959711,14.98227049
Q9WTX2,4C-vs-37C,-2.487721875,0.084083945,-29.5861699,6,9.89E-08,1.50E-05,NA,0.272727273,0,11,11,5,64,44,20,12.55968586,10.4974153,13.01096881
Q60872;Q8BMJ3,4C-vs-37C,-2.615037186,0.089037265,-29.37014286,6,1.03E-07,1.51E-05,NA,0.192307692,0,13,13,8,84,52,32,13.56957595,11.25521943,13.93484863
P42225,4C-vs-37C,-2.936405352,0.100662332,-29.17084577,6,1.08E-07,1.51E-05,NA,0.333333333,0,9,9,6,48,36,12,13.6174147,11.49623991,14.38046377
O88531,4C-vs-37C,-1.661540918,0.061658608,-26.94742851,6,1.73E-07,1.89E-05,NA,0.072368421,0,19,19,19,141,76,65,13.49695571,12.45587073,14.12567912
P23116,4C-vs-37C,-2.299280537,0.082882501,-27.74144742,6,1.45E-07,1.89E-05,NA,0,0,11,11,11,88,44,44,14.39040947,13.08270869,15.41075321
Q8BTJ4,4C-vs-37C,-2.182296983,0.080149662,-27.22777521,6,1.62E-07,1.89E-05,NA,0.068181818,0,11,11,11,82,44,38,12.89083512,12.08512685,14.24563466
Q91WK2,4C-vs-37C,-2.250360708,0.083633268,-26.90748278,6,1.74E-07,1.89E-05,NA,0.2,0,15,12,15,96,48,48,13.11085815,12.19193314,14.44791258
Q99MN1,4C-vs-37C,-2.222628043,0.082183032,-27.04485336,6,1.69E-07,1.89E-05,NA,0,0,9,9,9,72,36,36,13.59529942,12.89720558,15.14815634
