Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage,features,features 4C,features 37,measurements,measurements 4C,measurements 37,mean log2(Intensity),log2_intensity_4C,log2_intensity_37
Q8C854,37-vs-4C,-2.941243918,0.021612717,-136.0885773,9,2.22E-16,4.77E-13,NA,0,0,12,12,12,96,48,48,16.83803106,18.38630783,15.45963886
Q9R0I7,37-vs-4C,-3.32024216,0.02452512,-135.3812798,9,2.22E-16,4.77E-13,NA,0,0,13,13,13,104,52,52,14.3115617,15.80741958,12.49259418
Q8VIJ6,37-vs-4C,-2.897707588,0.023502052,-123.2959396,9,6.66E-16,9.55E-13,NA,0,0,23,23,23,184,92,92,18.23053196,19.46490722,16.56060618
Q9D3E6,37-vs-4C,-2.156962125,0.021535126,-100.1601833,9,5.11E-15,5.49E-12,NA,0,0,11,11,11,88,44,44,14.28686295,15.22937734,13.06868739
Q8BIQ5,37-vs-4C,-2.335248443,0.026616703,-87.73620142,9,1.64E-14,1.02E-11,NA,0,0,16,16,16,128,64,64,14.97912982,16.15521815,13.80226002
Q8C8N2,37-vs-4C,-4.051458951,0.046214182,-87.66700594,9,1.67E-14,1.02E-11,NA,0.272727273,0,11,8,11,58,32,26,13.52032032,15.13205824,11.12786003
Q8R480,37-vs-4C,-3.574252158,0.04017113,-88.97564445,9,1.44E-14,1.02E-11,NA,0,0,9,9,9,72,36,36,15.47000458,17.4754227,13.92336824
E9Q7G0,37-vs-4C,-2.277633652,0.028831468,-78.99818484,9,4.22E-14,1.81E-11,NA,0,0,15,15,15,120,60,60,16.24390354,17.32217097,15.05467231
P70288,37-vs-4C,-2.532866829,0.031782778,-79.69306063,9,3.91E-14,1.81E-11,NA,0,0,18,18,18,144,72,72,15.56662564,16.85133903,14.32167342
Q9CWK3,37-vs-4C,-2.375706953,0.029322044,-81.02119219,9,3.38E-14,1.81E-11,NA,0,0,11,11,11,88,44,44,14.79186639,16.03486398,13.65164484
Q922U1,37-vs-4C,-2.924125748,0.03791703,-77.11906005,9,5.24E-14,2.05E-11,NA,0,0,11,11,11,88,44,44,15.5929379,16.91353113,14.00640772
Q9QXK7,37-vs-4C,-2.423965638,0.032092554,-75.53046752,9,6.33E-14,2.27E-11,NA,0,0,11,11,11,88,44,44,15.3149998,16.13999702,13.70443088
Q6KCD5,37-vs-4C,-2.271408484,0.030937554,-73.41913661,9,8.15E-14,2.70E-11,NA,0,0,9,9,9,72,36,36,14.47676384,15.55540804,13.2676396
